                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9924,                0.84608,                0.99232,                 2.4707,             0.00023767,             0.00023767,             0.00023767
                      2,                0.70345,                0.92516,                0.99951,                 2.3294,             0.00042858,             0.00042858,             0.00042858
                      3,                0.46454,                0.96209,                      1,                 2.2807,             0.00057236,             0.00057236,             0.00057236
                      4,                0.36236,                0.96683,                      1,                 2.2633,             0.00050194,             0.00050194,             0.00050194
                      5,                 0.2851,                0.96699,                      1,                 2.2583,             0.00050194,             0.00050194,             0.00050194
                      6,                0.24453,                0.97451,                      1,                  2.249,             0.00043126,             0.00043126,             0.00043126
                      7,                0.22201,                0.98382,                      1,                 2.2367,             0.00036057,             0.00036057,             0.00036057
                      8,                 0.1877,                0.98088,                      1,                 2.2359,             0.00028988,             0.00028988,             0.00028988
                      9,                0.18235,                0.98807,                      1,                 2.2278,              0.0002192,              0.0002192,              0.0002192
                     10,                 0.1459,                0.98905,                      1,                 2.2266,             0.00014851,             0.00014851,             0.00014851
